Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),A,SOC,SOC%
0,4.15405941,0,0,0,1,100
0.99935323,4.247042656,7.05461E-10,0,0,1,100
0.339846313,4.199740887,0.000993306,0,0,1,100
0.317352891,4.199903011,0.001905517,0,0,1,100
0.300797731,4.199903011,0.00276422,0,0,1,100
0.287661582,4.199740887,0.003581947,0,0,1,100
0.276504844,4.199740887,0.004366255,0,0,1,100
0.267327547,4.199740887,0.00512254,0,0,1,100
0.259049952,4.199740887,0.005854742,0,0,1,100
0.251852065,4.199740887,0.00656565,0,0,1,100
0.245733857,4.200065136,0.007257187,0,0,1,100
0.239255756,4.199903011,0.007931209,0,0,1,100
0.233677387,4.200065136,0.008589008,0,0,1,100
0.228099018,4.199579239,0.009231704,0,0,1,100
0.223420396,4.199740887,0.009859979,0,0,1,100
0.218561813,4.199903011,0.010474822,0,0,1,100
0.214423031,4.199903011,0.011076779,0,0,1,100
0.20992434,4.199903011,0.01166657,0,0,1,100
0.205785558,4.199740887,0.012244719,0,0,1,100
0.201826707,4.199740887,0.01281147,0,0,1,100
0.19786787,4.199740887,0.013367355,0,0,1,100
0.193909034,4.199740887,0.013912766,0,0,1,100
0.190490037,4.199740887,0.014448041,0,0,1,100
0.187250972,4.199740887,0.014972625,0,0,1,100
0.183831975,4.199740887,0.01548846,0,0,1,100
0.180412978,4.199740887,0.01599484,0,0,1,100
0.177353874,4.199740887,0.016491633,0,0,1,100
0.174114823,4.199903011,0.016980322,0,0,1,100
0.171055719,4.199903011,0.017460557,0,0,1,100
0.168356508,4.199903011,0.017932496,0,0,1,100
0.165297404,4.199903011,0.018396447,0,0,1,100
0.162598193,4.199740887,0.018852636,0,0,1,100
0.159898981,4.199903011,0.01930113,0,0,1,100
0.15719977,4.199903011,0.019742147,0,0,1,100
0.154500559,4.199740887,0.020175831,0,0,1,100
0.152161255,4.199903011,0.020602386,0,0,1,100
0.149821937,4.199903011,0.021021947,0,0,1,100
0.147122726,4.199740887,0.021434763,0,0,1,100
0.144783407,4.199903011,0.021840942,0,0,1,100
0.142444089,4.199740887,0.022240511,0,0,1,100
0.140104786,4.199740887,0.022633839,0,0,1,100
0.13812536,4.199903011,0.023020414,0,0,1,100
0.136145934,4.199903011,0.023402041,0,0,1,100
0.133806631,4.199740887,0.023777115,0,0,1,100
0.131647259,4.199903011,0.024146436,0,0,1,100
0.129667833,4.199903011,0.024510051,0,0,1,100
0.127688408,4.199903011,0.024868145,0,0,1,100
0.125529051,4.199740887,0.02522077,0,0,1,100
0.123729572,4.199740887,0.025567515,0,0,1,100
0.1219301,4.199903011,0.025909717,0,0,1,100
0.120310575,4.199903011,0.026246726,0,0,1,100
0.118511103,4.199903011,0.026578745,0,0,1,100
0.116711631,4.199903011,0.026905921,0,0,1,100
0.114732206,4.199740887,0.027227729,0,0,1,100
0.113472573,4.199740887,0.027545269,0,0,1,100
0.111673102,4.199740887,0.027858238,0,0,1,100
0.10987363,4.199740887,0.028166692,0,0,1,100
0.108254105,4.199740887,0.028470694,0,0,1,100
0.106994472,4.199903011,0.028770339,0,0,1,100
0.105554894,4.200065136,0.029065834,0,0,1,100
0.103935368,4.199903011,0.029357155,0,0,1,100
0.102675736,4.199903011,0.029644299,0,0,1,100
0.101056211,4.199740887,0.029927314,0,0,1,100
0.099796578,4.199903011,0.030206468,0,0,1,100
0.098356999,4.199903011,0.030481746,0,0,1,100
0.096917421,4.199740887,0.030753254,0,0,1,100
0.095297895,4.199903011,0.031021001,0,0,1,100
0.094398156,4.199740887,0.031284991,0,0,1,100
0.092958584,4.199903011,0.031545496,0,0,1,100
0.091698952,4.199740887,0.031802445,0,0,1,100
0.09043932,4.199903011,0.032055938,0,0,1,100
0.089359634,4.199903011,0.032305838,0,0,1,100
0.088100001,4.199740887,0.032552659,0,0,1,100
0.086840369,4.199740887,0.032796133,0,0,1,100
0.085940637,4.199903011,0.033036434,0,0,1,100
0.084681004,4.199903011,0.033273575,0,0,1,100
0.083601318,4.199903011,0.033507595,0,0,1,100
0.082341686,4.199740887,0.033738539,0,0,1,100
0.081441954,4.199903011,0.03396651,0,0,1,100
0.080362268,4.199903011,0.034191476,0,0,1,100
0.079462528,4.199740887,0.034413284,0,0,1,100
0.078742743,4.199740887,0.034632579,0,0,1,100
0.077303164,4.199740887,0.034849095,0,0,1,100
0.076223478,4.199740887,0.035062899,0,0,1,100
0.075323746,4.199903011,0.03527397,0,0,1,100
0.07424406,4.199740887,0.035482335,0,0,1,100
0.073524266,4.199903011,0.035688045,0,0,1,100
0.072444588,4.199903011,0.035891143,0,0,1,100
0.071904741,4.199903011,0.036091693,0,0,1,100
0.070645116,4.199740887,0.036289426,0,0,1,100
0.069925323,4.199903011,0.036485019,0,0,1,100
0.069025584,4.199740887,0.036678236,0,0,1,100
0.068305798,4.199903011,0.036869081,0,0,1,100
0.067046165,4.199740887,0.037057619,0,0,1,100
0.066506326,4.199903011,0.037243811,0,0,1,100
0.065966479,4.199740887,0.037427886,0,0,1,100
0.065066747,4.199903011,0.037609721,0,0,1,100
0.063987061,4.199740887,0.037789451,0,0,1,100
0.063627169,4.199903011,0.037966945,0,0,1,100
0.062727429,4.199903011,0.038142378,0,0,1,100
0.06200764,4.199903011,0.03831534,0,0,1,100
0.061107904,4.199740887,0.038486599,0,0,1,100
0.060748011,4.199903011,0.038655778,0,0,1,100
0.059848271,4.199903011,0.038823018,0,0,1,100
0.059128486,4.199903011,0.038988296,0,0,1,100
0.058408696,4.199740887,0.03915177,0,0,1,100
0.057868853,4.199740887,0.039313322,0,0,1,100
0.057149064,4.199903011,0.039473114,0,0,1,100
0.056249328,4.199740887,0.03963102,0,0,1,100
0.055529539,4.199903011,0.039787141,0,0,1,100
0.054989696,4.200065136,0.039941044,0,0,1,100
0.054449853,4.199740887,0.040093535,0,0,1,100
0.05408996,4.199740887,0.040244322,0,0,1,100
0.05337017,4.199740887,0.040393426,0,0,1,100
0.052650381,4.199903011,0.040540974,0,0,1,100
0.051930591,4.199740887,0.040686879,0,0,1,100
0.051750645,4.199740887,0.040831054,0,0,1,100
0.051210802,4.199740887,0.040973605,0,0,1,100
0.050131116,4.199579239,0.041114555,0,0,1,100
0.049771223,4.199903011,0.041254014,0,0,1,100
0.049411327,4.199903011,0.041391766,0,0,1,100
0.048871487,4.199740887,0.041528182,0,0,1,100
0.048331644,4.199740887,0.041663087,0,0,1,100
0.047791801,4.199903011,0.041796543,0,0,1,100
0.047072012,4.199740887,0.041928522,0,0,1,100
0.046532173,4.199903011,0.042059005,0,0,1,100
0.04599233,4.199903011,0.042188045,0,0,1,100
0.045452487,4.199903011,0.042315688,0,0,1,100
0.04527254,4.199740887,0.042441841,0,0,1,100
0.044732697,4.199740887,0.042566664,0,0,1,100
0.044012908,4.199903011,0.042689862,0,0,1,100
0.043653015,4.199903011,0.04281168,0,0,1,100
0.043113172,4.199740887,0.042932353,0,0,1,100
0.042753275,4.199740887,0.043051874,0,0,1,100
0.042573329,4.200065136,0.043170074,0,0,1,100
0.041673593,4.199903011,0.043286961,0,0,1,100
0.041493647,4.199903011,0.043402513,0,0,1,100
0.0413137,4.199740887,0.0435167,0,0,1,100
0.040234014,4.199903011,0.043629681,0,0,1,100
0.040054068,4.199903011,0.043741462,0,0,1,100
0.039334279,4.199903011,0.043851727,0,0,1,100
0.038974382,4.199903011,0.043960891,0,0,1,100
0.038614489,4.199903011,0.044068873,0,0,1,100
0.038254593,4.199903011,0.044175665,0,0,1,100
0.037714753,4.199903011,0.044281057,0,0,1,100
0.037354857,4.199903011,0.044385349,0,0,1,100
0.036815014,4.199903011,0.044488337,0,0,1,100
0.036275174,4.199740887,0.044590092,0,0,1,100
0.035915278,4.199740887,0.044690538,0,0,1,100
0.035375439,4.199740887,0.044789806,0,0,1,100
0.034835596,4.199740887,0.044887611,0,0,1,100
0.034655649,4.199740887,0.044984344,0,0,1,100
0.034115806,4.199740887,0.045079804,0,0,1,100
0.033575963,4.199740887,0.045174238,0,0,1,100
0.033396017,4.199740887,0.045267342,0,0,1,100
0.032676227,4.199903011,0.045359325,0,0,1,100
0.032496281,4.199740887,0.045450123,0,0,1,100
0.031956438,4.199740887,0.045539781,0,0,1,100
0.031416595,4.199740887,0.045628501,0,0,1,100
0.031236649,4.199903011,0.045716315,0,0,1,100
0.030876754,4.199903011,0.045803043,0,0,1,100
0.030516859,4.199903011,0.045888512,0,0,1,100
0.030336913,4.199903011,0.045973053,0,0,1,100
0.02979707,4.199740887,0.046056541,0,0,1,100
0.029437175,4.199740887,0.046138931,0,0,1,100
0.02907728,4.199740887,0.046220601,0,0,1,100
0.028717386,4.199740887,0.046301243,0,0,1,100
0.028357491,4.199740887,0.046381033,0,0,1,100
0.028357491,4.200065136,0.046460053,0,0,1,100
0.02781765,4.199740887,0.046538087,0,0,1,100
0.027457755,4.199903011,0.046615225,0,0,1,100
0.027457755,4.199903011,0.04669172,0,0,1,100
0.027277807,4.200065136,0.046767266,0,0,1,100
0.026558017,4.199740887,0.046841957,0,0,1,100
0.026198123,4.199903011,0.046915763,0,0,1,100
0.026018176,4.199740887,0.04698882,0,0,1,100
0.025658282,4.199740887,0.047061181,0,0,1,100
0.025478333,4.199740887,0.047132816,0,0,1,100
0.025478333,4.199903011,0.047203697,0,0,1,100
0.024938492,4.199740887,0.047273735,0,0,1,100
0.024758546,4.199903011,0.047343036,0,0,1,100
0.024578597,4.199740887,0.047411771,0,0,1,100
0.024218703,4.199740887,0.047479828,0,0,1,100
0.024218703,4.199903011,0.047547178,0,0,1,100
0.023678862,4.199740887,0.047613845,0,0,1,100
0.023498913,4.199740887,0.047679838,0,0,1,100
0.023318967,4.199740887,0.047745226,0,0,1,100
0.023139019,4.199740887,0.047809976,0,0,1,100
0.022959072,4.199740887,0.047874097,0,0,1,100
0.022779124,4.199740887,0.047937829,0,0,1,100
0.022239283,4.199579239,0.048000748,0,0,1,100
0.022239283,4.199740887,0.048063098,0,0,1,100
0.022239283,4.199740887,0.048124784,0,0,1,100
0.021879388,4.199903011,0.048185986,0,0,1,100
0.02169944,4.199740887,0.048246606,0,0,1,100
0.021519493,4.199579239,0.048306723,0,0,1,100
0.021339545,4.199740887,0.048366239,0,0,1,100
0.021159599,4.199903011,0.048425219,0,0,1,100
0.020619756,4.199579239,0.048483546,0,0,1,100
0.020439809,4.199740887,0.048541302,0,0,1,100
0.020439809,4.199740887,0.048598441,0,0,1,100
0.020259861,4.199740887,0.048655315,0,0,1,100
0.019899966,4.199740887,0.048677597,0,0,1,100
0,4.196987152,0.048677597,0,0,1,100
0,4.196825027,0.048677597,0,0,1,100
0,4.196501255,0.048677597,0,0,1,100
0,4.196501255,0.048677597,0,0,1,100
0,4.196501255,0.048677597,0,0,1,100
0,4.19633913,0.048677597,0,0,1,100
-1.000041485,4.059942245,0.048677597,0.002782566,0.00187788,0.99812212,99.81221199
-1.000221372,4.051194668,0.048677597,0.005565033,0.003755694,0.996244306,99.62443063
-1.000221372,4.044714928,0.048677597,0.008347557,0.005633545,0.994366455,99.43664545
-0.999861538,4.039207458,0.048677597,0.011130084,0.007511399,0.992488601,99.24886006
-1.000221372,4.034023762,0.048677597,0.013912613,0.009389255,0.990610745,99.06107454
-1.000221372,4.029649734,0.048677597,0.016695161,0.011267123,0.988732877,98.87328769
-1.000221372,4.025762081,0.048677597,0.019477677,0.013144969,0.986855031,98.68550307
-1.000221372,4.0221982,0.048677597,0.022260216,0.015022831,0.984977169,98.49771685
-1.000041485,4.019120216,0.048677597,0.02504271,0.016900663,0.983099337,98.30993368
-1.000221372,4.016042709,0.048677597,0.027825231,0.018778513,0.981221487,98.12214868
-1.000041485,4.01312685,0.048677597,0.030603504,0.020653497,0.979346503,97.93465034
-1.000041485,4.010534763,0.048677597,0.033385996,0.022531327,0.977468673,97.74686731
-1.000041485,4.007943153,0.048677597,0.036168568,0.024409211,0.975590789,97.5590789
-1.000221372,4.005351067,0.048677597,0.038951107,0.026287073,0.973712927,97.3712927
-1.000221372,4.00275898,0.048677597,0.041733672,0.028164953,0.971835047,97.18350474
-1.000221372,4.000491142,0.048677597,0.044516192,0.030042802,0.969957198,96.99571984
-1.000221372,3.998061419,0.048677597,0.047298714,0.031920652,0.968079348,96.80793476
-1.000041485,3.995955467,0.048677597,0.050081236,0.033798503,0.966201497,96.62014972
-1.000041485,3.993849754,0.048677597,0.05286373,0.035676335,0.964323665,96.43236654
-1.000221372,3.991743803,0.048677597,0.055646265,0.037554194,0.962445806,96.24458059
-1.000221372,3.989475965,0.048677597,0.058424444,0.039429113,0.960570887,96.05708866
-1.000041485,3.9875319,0.048677597,0.061211271,0.04130987,0.95869013,95.86901305
-1.000221372,3.985264063,0.048677597,0.063993807,0.04318773,0.95681227,95.68122703
-0.999861538,3.983644247,0.048677597,0.066776331,0.045065581,0.954934419,95.49344186
-1.000221372,3.98137641,0.048677597,0.069558855,0.046943434,0.953056566,95.30565663
-1.000041485,3.979594469,0.048677597,0.072341375,0.048821283,0.951178717,95.1178717
-1.000221372,3.977488518,0.048677597,0.075123842,0.050699096,0.949300904,94.93009037
-1.000221372,3.975544691,0.048677597,0.077906381,0.052576959,0.947423041,94.74230415
-1.000221372,3.973600626,0.048677597,0.080688871,0.054454787,0.945545213,94.55452128
-1.000221372,3.971656799,0.048677597,0.083471389,0.056332635,0.943667365,94.3667365
-1.000221372,3.969874859,0.048677597,0.086253921,0.058210492,0.941789508,94.17895076
-1.000221372,3.967931032,0.048677597,0.08903649,0.060088375,0.939911625,93.9911625
-1.000041485,3.966149092,0.048677597,0.091819005,0.06196622,0.93803378,93.80337796
-1.000221372,3.964367151,0.048677597,0.094601498,0.063844052,0.936155948,93.61559483
-1.000221372,3.962585211,0.048677597,0.09738405,0.065721922,0.934278078,93.42780779
-1.000221372,3.96080327,0.048677597,0.100166576,0.067599776,0.932400224,93.24002242
-1.000041485,3.959183455,0.048677597,0.102949073,0.069477609,0.930522391,93.05223907
-1.000041485,3.957239628,0.048677597,0.105731597,0.071355461,0.928644539,92.86445387
-1.000221372,3.955457687,0.048677597,0.108514167,0.073233344,0.926766656,92.6766656
-1.000401378,3.953675747,0.048677597,0.111296683,0.075111191,0.924888809,92.48888093
-1.000221372,3.952055931,0.048677597,0.114079198,0.076989037,0.923010963,92.30109632
-1.000041485,3.950435877,0.048677597,0.116857422,0.078863986,0.921136014,92.11360136
-1.000041485,3.948816061,0.048677597,0.119644251,0.080744744,0.919255256,91.9255256
-1.000041485,3.947034121,0.048677597,0.122422445,0.082619674,0.917380326,91.73803263
-1.000401378,3.945090294,0.048677597,0.125209329,0.084500468,0.915499532,91.54995318
-1.000221372,3.94347024,0.048677597,0.127991806,0.086378288,0.913621712,91.36217116
-1.000221372,3.941850424,0.048677597,0.130774326,0.088256138,0.911743862,91.17438624
-0.999861538,3.940392494,0.048677597,0.133517819,0.090107648,0.909892352,90.98923518
-1.000221372,3.938448429,0.048677597,0.136339426,0.092011877,0.907988123,90.79881235
-1.000041485,3.936828613,0.048677597,0.139121965,0.093889738,0.906110262,90.61102618
-1.000041485,3.935208797,0.048677597,0.141904521,0.095767612,0.904232388,90.42323878
-1.000221372,3.933426857,0.048677597,0.14468705,0.097645468,0.902354532,90.23545325
-1.000401378,3.931644917,0.048677597,0.147469564,0.099523312,0.900476688,90.04766875
-1.000041485,3.930186987,0.048677597,0.150252106,0.101401177,0.898598823,89.85988233
-1.000041485,3.928567171,0.048677597,0.153030376,0.103276158,0.896723842,89.67238424
-1.000221372,3.926785231,0.048677597,0.155812906,0.105154014,0.894845986,89.48459861
-1.000221372,3.925327301,0.048677597,0.158595464,0.107031888,0.892968112,89.29681117
-1.000221372,3.923707247,0.048677597,0.161378001,0.108909749,0.891090251,89.1090251
-1.000221372,3.921925306,0.048677597,0.164160492,0.110787579,0.889212421,88.92124211
-1.000221372,3.920467377,0.048677597,0.166943071,0.112665468,0.887334532,88.73345322
-1.000221372,3.918685675,0.048677597,0.16972554,0.114543283,0.885456717,88.54567174
-1.000221372,3.91706562,0.048677597,0.172508033,0.116421113,0.883578887,88.35788866
-1.000041485,3.915445805,0.048677597,0.175290541,0.118298955,0.881701045,88.17010451
